jenis_ikan,tahun,produksi(ton),Fuzzy C-Means,Kohonen Self Organizing Map (SOM),,,,,,,,,,,,,
1,2017,10,Sedang,Rendah,bawal_putih,,,,,,,,,,,,
2,2017,181,Sedang,Rendah,cucut,,,,,,,,,,,,
3,2017,240,Sedang,Rendah,layaran,,,,,,,,,,,,
4,2017,763,Sedang,Rendah,ekor_kuning,,,,fuzzy c-mean,,,,,,,som,
5,2017,1021,Sedang,Rendah,kakap_merah,,,,,,,,,,,,
6,2017,1075,Sedang,Rendah,udang_jerbung,,cluster 1,40.51562682,2019.235695,537614.1565,,A2:C243,,cluster 1,40.22222222,2019.111111,506110.8889
7,2017,2662,Sedang,Rendah,cendro,,cluster 2,24.36451218,2019.093091,14456.97065,,G7:I9,,cluster 2,36.17647059,2019.058824,201833.5882
8,2017,2890,Sedang,Rendah,kakap_putih,,cluster 3,36.23828228,2019.170014,208299.1432,,,,cluster 3,24.72774869,2019.115183,16376.72775
9,2017,3011,Sedang,Rendah,talang_talang,,,,,,,,,alpha,0.2,,
10,2017,3042,Sedang,Rendah,layur,,,,,,,,,,,,
11,2017,3208,Sedang,Rendah,bawal_hitam,,,,,,,,,,,,
12,2017,3467,Sedang,Rendah,kuro,,illustrasi training dilakukan 5x sebagai berikut:,,,,,,,,,,
13,2017,4035,Sedang,Rendah,layang,,iterasi 1,,,,,,,iterasi 2,,,
14,2017,4190,Sedang,Rendah,manyung,,D(j),,,,,,,D(j),,,
15,2017,7027,Sedang,Rendah,ikan_sebelah,,d(cluster1),2.56E+11,,,,,,d(cluster1),2.56E+11,,
16,2017,7502,Sedang,Rendah,golok_golok,,d(cluster2),40732762010,,,,,,d(cluster2),40663767514,,
17,2017,7734,Sedang,Rendah,kerong_kerong,,d(cluster3),267870344.7,,,,,,d(cluster3),262302118.3,,
18,2017,8288,Sedang,Rendah,tongkol,,minumum d(cluster3),,,,,,,minumum d(cluster3),,,
19,2017,9390,Sedang,Rendah,beloso,,perbaikan bobot cluster3,,,,,,,perbaikan bobot cluster3,,,
20,2017,11037,Sedang,Rendah,kwe,,cluster 1,40.22222222,2019.111111,506110.8889,,,,cluster 1,40.22222222,2019.111111,506110.8889
21,2017,11591,Sedang,Rendah,tetengkek,,cluster 2,36.17647059,2019.058824,201833.5882,,,,cluster 2,36.17647059,2019.058824,201833.5882
22,2017,14064,Sedang,Rendah,alu_alu,,cluster 3,19.98219895,2018.692147,13103.3822,,,,cluster 3,20.18219895,2018.692147,13137.5822
24,2017,15200,Sedang,Rendah,belanak,,,,,,,,,,,,
25,2017,16062,Sedang,Rendah,pari,,,,,,,,,,,,
26,2017,16786,Sedang,Rendah,siro,,iterasi 4,,,,,,,iterasi 3,,,
27,2017,20412,Sedang,Rendah,japuh,,D(j),,,,,,,D(j),,,
